abandon	senbrideco	lit. unbridled-ness
by	ĉe	exact position (next to, in front of)
by	de	from a place or by somebody
by	de	expresses possession
by	ĝis	up to/by a specific time
by means of	per	with the use of something
calculate	kalkuli {tr|ntr}	
Candlemas	Kandelfesto	
carol	karolo	Christmas song
carries	portas {tr}	
cautious	singarda	lit. self-guarding
cautiously	singarde	
ceiling	plafono	
celebrate	festi	
celebration	festo	
cell	ĉelo	solo room
centre	centro	
century	jarcento	
ceremony	ceremonio	
character	karakteron	
cheerful	gajiga	cheerfulness causing
choir	koruso	syn. ĥoro
chorus	ĥoro	
Chrismasse Carolles	Kristnaskaj Karoloj	
Christmas	Kristnasko	
Christmas Morning	Kristnask’mateno	
Christmas-day	Kristnask’tago	
Christmas-eve	Kristnask’vespero	
Christmas-tide	Kristnask’tempo	
church	preĝejo	
circumstances	cirkonstancoj	
clang	sonoro	
clasping	kunprema	
classic	klasika	
classical	klasika	
clever	lerta	
cleverly	lerte	
cloth	ŝtofo	
collection	kolekto	
college	kolegio	
come	veni {ntr}	
community	komunumo	
complain	plendi {ntr}	
completely	tute 	
conceit	fantazio	a sort of thought
concerning	pri	talk about something
congregation	paroĥanaro	collective parishioners
connected	ligitaj	
consent	konsento	
consequently	konsekvence 	
consequently	sekve 	
consistently	konsekvence 	
contemptuous	malestima	
continue	daŭri {ntr}	
Cosimo	Kosimo	personal-name
couch	kanapo	
council	konsilio	a leading body of people
counsel	konsili {tr}	
counties	graflandoj	
country	kamparo	as in countryside, not city
country people	kamparanoj	
courtyard	korto	
cousin	kuzino	female
crackle	kraketi	
cradled	lulita	
crave	avidi {tr}	
creature	estaĵo	
creep out	el'ŝtel'iri {ntr}	
creeping	ŝtel'ir'anta	
creeps	ŝtel'iri {ntr}	
creeps up	al'ŝtel'iras {ntr}	
criminal	krima	like a criminal
crowd	homamaso	
to be cured	por esti resanigita	lit. for the purpose of being restored to health
curious	kurioza	exciting interest
dagger	ponardo	
daily	ĉiutage 	
dance	danci	
dangerous	danĝera	
dawn	matenkrepusko	
December	decembro	
decorated	ornamitaj	
decorations	ornamaĵoj	
decorative	dekoracia	
deep	profunde	deeply
defiant	defia	
defies	defias {tr}	
delay	prokrasto	
demand	postuli	
deserve	meriti {tr}	
despite	malgraŭ	nevertheless, notwithstanding
destiny	destino	
destroy	detrui {tr}	
dignity	digno	
diminish	malpliigi	
displacement	delokeco	
displeasure	malplezuro	
disturb	perturbi {tr}	
dive	plonĝi {ntr}	
doubted	dubis {tr}	
dramatic	drama	
draw attention to	atentigi {tr}	
dream	revo	as in “I have a dream”
dream	sonĝo	while sleeping
during	en	at some time within a specific time frame
dusk	vesperkrepusko	
each	po	for a divided amount, followed by the nominative
eagerness	entuziasmo	
ear	orelo	
earrings	orelringoj	
ebony	ebona	
echo	eĥo	
Egypt	Egiptujo	
embrace	brakumi {tr}	
England	Anglio	
English	angla	
enough	sufiĉe 	
enters	eniras {tr}	
enters	eniras	
entitled	titolita	given the title of
escort	eskorto	
etc	ktp	
evergreen	ĉiamverdo	
everywhere	ĉie 	
evil	malbono	
exaggerate	troigi {tr}	
except for	krom	not considering
excess	troo	
to exist	ekzisti {ntr}	
existence	ekzisto	
expression	esprimo	
extremely	ekstreme 	
fact	fakto	
fair	blonda	
fall	kuŝiĝi {ntr}	a thing to fall flat like a cut tree
falls	falas {ntr}	
family	familio	
farmhouse	kampara domo	complicated by ownership & serfdom
fate	sorto	
favourable	favora	eager to grant advantage to
fears	timas {tr}	
feast	festeno	
February	februaro	
feel	senti {tr}	
festive	festa	
fight	batali {ntr}	
fill	plenigi	
finally	fine 	
fire	fajro	
fit	taŭga	suitable
was not fixed	ne estis fiksita	
flame	flamo	
fled	fuĝis {ntr}	flee from danger
flies	flugas {ntr}	
flock	amasiĝi	to pile up or become a crowd
floor	planko	
Florence	Florenco	Italian city
flower	floro	
flower	floro	
flower-seller	flor’vendisto	
to flower	flori	
flown	flugis {ntr}	
flows	fluas {ntr}	
foaming	ŝaŭma	frothy
follow	sekvi {tr}	
fondly	ame	
food	manĝaĵo	
fool	malsaĝulo	
foolish	malsaĝa	
footstep	pied'paŝo	
for	de	for a period of time
for	dum	spanning an entire duration of time
for	por	outcome of an action
for some reason	ial	
for that reason	tial 	
forbid	malpermesi {tr}	
forefathers	prapatroj	if both sexes: prauloj
forget	forgesi	
forgive	pardoni {tr}	forgive someone or something
forgotten	forgesita	
forwards	antaŭen	
fought	batalis {ntr}	
found	trovis {tr}	
Friday	vendredo	
frightened	tima	
from	de	from a place or by somebody
from	de	expresses possession
from	el	from where
from time immemorial	de post tempo nememorebla	
frontispiece	frontispico	
fulfil	plenumi {tr}	
further	plua	
further	plue	
future	estonteco	
gain	gajni {tr}	
garden	ĝardeno	
gasthaus	gastejo	
gate	pordego	
gate	pordego	
Gaudeamus Omnes	Ni Ĉiuj Ĝoju	“Let us all Rejoice,” Latin title of a chant
gaze	rigardi {tr}	
generally	ĝenerale	in general
gesture	gesto	
girl	fraŭlino	young lady, unmarried woman
give	doni {tr}	
gladly	volonte 	
gleams	brilas	
glistening	fulmetada	
glory	gloro	
gloss	poluro	
glow	brilo	
go	iri	
go forward	antaŭen'iru {ntr}	
gondola	gondola	
gondolier	gondolisto	
goodwill	bonvolon	
gossip	klaĉo	gossip, always negative
gossip	onidiro	rumor, positive or negative
grave	tombo	
gravel	gruzo	
Grecian	greka	
Greece	Grekio	
green	verda	
greet	saluti	
grey	griza	
greybeard	grizbarbo	
grotesque	groteska	
grove	arbareto	
grow	kreski {ntr}	to grow, increase or become bigger
grow	kreskigi {tr}	make something grow
grows	kreskas {ntr}	
guarantee	garantio	
guaranteeing	garantiante	
guess	diveni {tr}	
had been filled	estis plenigitaj	
handsome	bela	
hangs	pendas {ntr}	
happen	okazi {ntr}	
happily	feliĉe	
hardly	apenaŭ 	
hardy	fortika	
hark	aŭskultu	
has given	donis {tr}	
have fulfilled	plenumis {tr}	
have given	donis {tr}	
have known	konis {tr}	
have promised	promesis {tr}	
have recovered	resaniĝis {ntr}	
hear	aŭdi {tr}	
heard	aŭdis {tr}	
hears	aŭdas {tr}	
heart	koro	
hearth	kameno	
heavy	peza	
help	helpi {tr}	
henceforth	de nun	
here	ĉi tie 	
hesitate	heziti {ntr}	
hesitation	hezito	
Hesperides	Hesperidoj	
hides	kaŝas {tr}	
hiding-place	kaŝejo	
High Priest	Ĉefpastro	
higher	pli alta	
hill	moneto	
hint	aludi {tr}	
hither	ĉi tien	
hold	teni {tr}	
holiday	ferio	
holly	ileksa	bush
holy	sankta	
home	hejmo	hejme-at home, hejmen-toward home
honey	mielo	
honour	honoro	
honour	honori {tr}	show respect
hope	esperi {tr}	
hopefully	espereble 	
hospitable	gastama	
host	gastiganto	also: gastiginto
however	tamen 	
human	homa	
hurries	rapidas	
hymn	himno	
ice	glacio	
idea	ideo	
idiotic	idiota	
ignorant	malklera	uneducated
ignorant	senscia	unknowing
ignore	malatenti {tr}	
ill-fortune	malbon'fortuno	
would make  ill	malsanigus {tr}	
imaginative	imagema	
immediately	tuj 	
impatient	senpacienca	
implore	petegi {tr}	implore someone or something
in	en	in a place, book, car, picture, world
in	en	at some time within a specific time frame
in days of yore	pra'antaŭe	
in every respect	ĉia'maniere	
in front	antaŭe 	
in front of	antaŭ	in front/before
in love	enamiĝinte	
in spite of	malgraŭ	nevertheless, notwithstanding
in such a fashion	tiel 	
in that manner	tiel 	
in that way	tiel 	
in the afternoon	posttagmeze	
inattentive	malatenta	
increase	pliigi {tr}	make something more
indigestible	nedigestebla	
injure	vundi {tr}	
inn	gastejo	
inside	ene	
inside	interne 	
instantly	tuj	
instead of	anstataŭ	replace something with something else
invent	elpensi {tr}	
Is described	estas priskribita	
is everywhere rife	abundas	
is given up	fordonita	
is treated	traktita	
it all	ĉio	everything
it is used	ĝin uzitas	
ivy	hedero	
January	januaro	
Jesus	Jesuo	
John	Johano	name
John o’ Groats	Johano de Kvar'pencoj	
July	julio	
June	junio	
kept	konservita	
kiss	kisi {tr}	
knee	genuo	
known	konata	
knows	konas {tr}	
knows	scias {tr}	
komencitas	is begun {tr}	
labourer	laboristo	
Land’s End	Terfino	
landscape	pejzaĝo	
lane	vojeto	small country road
lantern	lanterno	
last	last	after all the others
lattice	kradita	covered by a lattice
laurel	laŭro	
lay	kuŝigi {tr}	lay something down, make it lie
learn	learni {tr}	
left	maldekstre 	
left	foriris {ntr}	
left	lasis {tr}	to leave behind
library	biblioteko	
lie	mensogo	an untruth
lie	kuŝi {ntr}	to be resting in a horizontal position
lie	kuŝi {ntr}	to be having horizontal sexual intercourse
lie	kuŝi {ntr}	to occupy a space, "lies to the East"
lie	kuŝiĝi {ntr}	to lie oneself down, become and become recumbent
lies	mensogoj	pl. untruths
lies	kuŝas {ntr}	
to light	ekbruligi	
like that	tiel	
likewise	ankaŭ 	
lion	leono	
lip	lipo	
listen	aŭskulti {tr}	
little	malmulte	
loneliness	soleco	
lonely	soleca	
look	aspekti {ntr}	appear as
look	rigardi {tr}	to look at with the eyes
looked forward to	antaŭĝojitaj	as in anticipated
lot	sorto	lot in life, as in fate
lover	amanto	
make	fari {tr}	
makes a gesture	gesti {ntr}	
manger	staltrogo	
manor	domego	
manor house	domego	
mansion	domego	
March	marto	
Marco	Marko	person's name
marriage	geedziĝo	
mask	masko	
masterpiece	ĉefverko	
matters	gravas	
May	majo	
means	signifis {tr}	has the meaning of
meet	renkontas	
memory	memoro	
Memphis	Memfiso	city in Tennessee
Memphis	Menefro	city in ancient Egypt
mental	psika	psychological
Meran	Merano	
method	metodo	
Middle Ages	Mezepoko	
midland counties	mezlandaj graflandoj	
midnight	noktomezo	
Miller	Milero	name
mind	menso	
mingle	intermiksiĝi	
minstrelsye	menestrelaĵo	music of minstrels
mirth	gajeco	
miserable	mizera	
mistletoe	visko	
mockery	mokataĵo	
mockingly	moke	
model	modelo	
Monday	lundo	
monk	monaĥo	
mount	monto	part of the name of a mountain
mouth	buŝo	
murmurs	murmuri {tr}	
mysteries	misteroj	
mysterious	mistera	
nation	nacio	
native	indiĝeno	
nature	naturo	
near	proksima	
need	bezoni {tr}	
neighbourhood	najbaraĵo	vs kvartalo (district)
never	neniam 	
nevertheless	tamen 	
next to	apud	next to (without touching)
no one	neniu	
noon	tagmezo	
note	noti {tr}	make note of, written or mentally
notices	rimarkas {tr}	
November	novembro	
nowhere	nenie 	
oaken	kverkaj	
obedient	obeema	
obey	ebei {tr}	
obeys	obeas {tr}	
object	objekto	
observed	celebrita	ritual celebration
obvious	evidenta	
occasions	okazoj	
October	oktobro	
of	da	how much of something
of a different sort	malsamaspeco	
of course	kompreneble	
of some sort	iaspeca	
offer	oferto {tr}	not used for gifts
office	oficejo	
often	ofte 	
oil painting	oleopentraĵo	
old lady	maljunulino	
old-fashioned	malmoderna	
old-time	malmoderna	
on	sur	fixed to something & in contact
on Fridays	vendrede 	
on the other side of	trans	from one side to the other, on the opposite side of
opinions	opinio	
opposite	kontraŭ	facing, on the other side
orange	oranĝa	
otherwise	alie 	
ourselves	ni mem	
out of	ekster	beyond a closed area
outdoor	ekster’doma	
outdoor	subĉiela	
outside of	ekster	beyond a closed area
over	super	above or over something, but not directly on it
over	trans	from one side to the other, on the opposite side of
overlook	preteratenti {tr}	
Oxford	Oksfordo	
pageantry	spektaklo	
paint	farbo	liquid paint medium
paint	farbi {tr}	to apply paint, non-artistically
paint	pentri {tr}	to paint as an atrist
paint	pripentri	to decorate with paint
to paint	pentri {tr}	
painter	farbisto	non-atristic painter
painter	pentristo	an artist who paints
painterly	pentra	
painting	pentrado	the activity or manner of artistic painting
painting	pentrarto	a physical artistic painting
painting	pentrarto	the art itself of painting
paints	pentras {tr}	
palette	paletro	
palm	manplato	as in the palm of the hand
palm	palmo	the tree
particularly	precipe	
party	festo	
passed me by	preterpasis min	
passes	pasas	
passing	pasantaj	as in: passing years
past	preter	pass something/someone (go/drive/fly …)
pastime	amuzaĵo	
pay attention to	priatenti {tr}	
peasant	kamparano	
people 	popolo	populace
perform	plenumi {tr}	fulfill
perform	roli {tr}	as an actor
persons	personoj	
Pharaoh	Faraono	
picture	bildo	
plainly	klare	
platter	plado	
plays	ludas {tr|ntr}	
please	bonvolu	please
pleased	plaĉita	
pleasure	plezuro	
plot	intrigo	cunning activity to make or break a cause
plotting	intrigi {ntr}	
plum-pudding	prun’pudingo	
point	pinto	tip of sword or needle
point	punkto	exact location
pomegranate	granato	
pomp	pompo	
poor	malriĉa	
portly	korpulenta	
pose	pozo	
possibly	eble	
potation	trinkaĵo	
practical	praktika	not theoretical
preexistence	antaŭ'ekzisto	
prefer	preferi {tr}	
present	donaco	gift
present day	la estanteco	
present day	nuneco	
present day	nuntempo	
presently	baldaŭ	soon
preserved	konservita	
pretend	ŝajnigi {ntr}	
pretty	bela	
prevails	regas	
prevent	malhelpi {tr}	
prince	princo	
printed	presita	
prize	premi	
probably	eventuale 	
procession	procesia	
promised	promesis {tr}	
prophesies	profeti	make prophesy
prophetic	profeta	
protect	protekti {tr}	
protection	protekto	
protective	protekta	
protectively	protekte	
public	publika	
purple	purpura	
put	meti {tr}	
put aside	formeti {tr}	
quaint	kuriozaj	
questioningly	demande	
quietly	kviete	
rafters	tegmenta trabaro	
read	legi {tr}	
real	reala	vs. imagata (imagined) & ŝajna (apparent)
realise	konscii {tr|ntr}	to be aware
reality	realo	
really	efektive	in fact, real, in reality, not imagined
really	vere	in truth
really	vere	in reality
really	vere 	true, not false
reap	rikolti {tr}	
receives	ricevi {tr}	
recumbent	kuŝa	
red	ruĝa	
referring to	aludante	
reflect	pripensi {tr}	give thought about
reflection	pripensado	the act of reflection on an issue
reflection	reflekto	optical as a mirror
reflective	pripensa	
refusal	rifuzo	
refuse	rifuzi {tr}	
regular	regula	consistent
regulation	regulo	
rejoicings	jubiloj	
relative	parenco	
remember	memori {tr}	
remind	memorigi {tr}	remind of something in the future
remind	rememorigi {tr}	remind of something in the past
remorse	bedaŭro	
remorse	pento	Remorse
remorse	rimorso	
renounce	rezigni {tr}	
repaint	repentri {tr}	to repaint in an atristic way
representation	prezento	an image of
represented	montra	portrayed in a drawing note: reprezenti is act as representative
repute	reputacio	
was held in high repute	estis estimata	
rest	resto	remainder
rest	ripozi {ntr}	
result	rezulto	
resurrection	resurekto	
return	reveni {ntr}	
return	reveni {ntr}	
rich	riĉa	
richness	riĉeco	
right	dekstre 	
ring out	elsonori {tr}	
risk	risko	possibility of failure
risk	riski {tr}	to take a risk
roast	rostita	one that has been roasted
robe	robo	
rose	roza	
rosemary	rosmareno	
rosemary plant	rosmaren’planto	
rounds	rundojn	as in, making the rounds
rustics	kamparanoj	
safe	sekura	
Samos	Samoso	Greek Island
sanatorium	sanatorio	residential rehab, ≠hospitalo
Saturday	sabato	
saturnalia	saturnalio	
say	diri {tr}	
scarlet	skarlata	
seascape	marpentraĵo	
season	sezono	
second	dua	
seize	kapti {tr}	
September	septembro	
seriously	serioze	
shadow	ombro	
share	kunhavigi {tr}	
sharp	akra	
show	montri {tr}	
signature	subskribo	
silken	silka	
silver	arĝenta	
silver	arĝenta	
since	ekde	from a specific point in time until now
since	ekde	
sister	fratino	nun
sketch	skizo	
skill	lerteco	
sleep	dormi {ntr}	
slight	malgrava	not serious
snow on the ground	neĝo sur la tero	
so	do 	logical consequence
so that	por ke	
soil	grundo	soil
solemn	solena	
solemnity	seleno	
some	iuj	countable things
sometime	iam 	
somewhere	ie 	
soon	baldaŭ 	
speak	paroli {ntr}	
speech	parolado	
spraypaint	pistolfarbi {tr}	to paint with a sprayer
squire	varleto	
stable	stalo	horse house (or other animals)
star	stelo	in the sky
state	stato	
step	paŝo	a step in walking
step	ŝtupo	steps of a staircase
still	senmove	not moving
still	tamen 	
stir	kirli {tr}	
stone	ŝtona	made of stone
stops	ĉesi	cease
stout-legged	dike kruraj	
stream	rivereto	
stronghold	fortikaĵo	
subsequently	sekve 	
suitable	taŭga	
Sunday	dimanĉo	
sunset	sunsubiro	
superstition	superstiĉo	
surplice	surpliso	liturgical garment
surrounding	ĉirkaŭa	
sword	glavo	
table	tablo	
takes no account of me	ne konsideras min	
talk	paroli {tr}	
tankards	tasegoj	
tasty	bongusta	
teach	instrui {tr}	
tell	diri {tr}	
tells	rakontas	
tempt	tenti {tr}	
tend	emas	has the tendency
tender	molan	in regard to meat
thank	danki {tr}	
that	ke	introduces a clause, if clause shows purpose, use ‘por ke’
that	tio	that thing
that	tiu	that one
that’s	tio estas	
that’s why	pro kio 	
that’s why	tial 	
the waits	karol’kantistoj	carol singers
then	do 	logical consequence
then	tiam 	at that time "not earlier than then"
there	tie 	
therefore	konsekvence 	
therefore	pro kio 	
therefore	tial 	
third	tria	
Thos.	Tomaso	name
thought	pensis {ntr}	
thoughtful	pripensema	prone to reflection
thoughtless	senpripensa	
thousand	milo	
through	per	with the use of something
through	tra	limited from above, below and on the sides, from one side to the other
Thursday	ĵaŭdo	
thus	sekve 	
to	al	to a place, to a person
to a great extent	multe	
to me	al mi	
to the end	ĝis la fino	
to the right	dekstren	
today	hodiaŭ 	
tomorrow	morgaŭ 	
took	prenis {tr}	
torches	torĉojn	
torment	turmenti {tr}	
torture	torturi {tr}	
touch	tuŝi {tr}	
to trace	spuri {tr}	to follow traces left by an action
traditions	tradicioj	
treachery	perfido	
Tuesday	mardo	
turquoise	turkisa	
twelfth	dekdua	
twelve	dekdua	
twig	branĉeto	
ubiquity	ĉieo	
under	malsupre 	
under	sub	under something
underneath	malsupre 	
undo	malfari {tr}	
unearths	el’terigas	
uneasiness	maltrankvilo	
unfortunately	bedaŭrinde 	
until	ĝis	destination
until	ĝis	up to/by a specific time
up to	ĝis	destination
upstairs	supre 	
various	diversa	
Venice	Venecio	
very	tre 	
village	vilaĝo	
violet	viola	
voice	voĉo	
volume	volumo	book in a collection
wagoner	ĉaristo	
want	voli {tr}	
watching	rigardi {tr}	
watercolor	akvofarbo	
weary	laca	
weather	vetero	
wedding	geedziĝo	
Wednesday	merkredo	
weird	stranga	
when	kiam 	relative
where	kie 	relative
whisper	flustri {tr}	
white	blanka	
whiteness	blankeco	
Whittier	Vitiero	
wild	sovaĝa	
with	kun	together with someone/thing
with	per	with the use of something
with dignity	digne	
within doors	Intern'dome	
without	sen	without someone/thing
Wynkin de Worde	Vinko Devordo	
yearlong	jarlonga	
years ago	antaŭ jaroj	
yellow	flava	
yesterday	hieraŭ 	
yet	tamen 	
yule-log	Jul'ŝtipo	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
&&&&&&&&&	&&&&&&&&&	&&&&&&&&&

